Sr.No,Round,Institute,Program,Stream,Seat Type,Quota,Category,Opening Rank,Closing Rank
2572,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,17502,20574
2573,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,69363,75865
2574,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology (TFW),B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,7396,7720
2575,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,11886,16651
2576,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,7371,8002
2577,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,5500,6705
2578,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,SC,13160,16826
2579,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,ST,53970,54861
2580,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Computer Science & Engineering - TFW,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Tuition Fee Waiver,5561,6097
2581,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - A,45926,48028
2582,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,OBC - B,28207,33891
2583,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B.Tech/B.Arch (WBJEE) Seats),WBJEE Seats,Home State,Open,20236,25855
